frame_number,monkey_ID,monkey_name,monkey_id_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_confidence,nose_x,nose_y,nose_confidence,left_eye_x,left_eye_y,left_eye_confidence,right_eye_x,right_eye_y,right_eye_confidence,left_ear_x,left_ear_y,left_ear_confidence,right_ear_x,right_ear_y,right_ear_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
4,0,Elm,0.5080,1438.3,125.7,1833.8,493.3,0.8878,1768.97,229.15,0.0000,1782.85,209.09,0.0000,1772.82,206.78,0.0000,1832.23,168.97,0.0000,1735.02,145.06,0.0000,1726.54,235.32,0.0000,1672.53,181.32,0.0000,1726.54,287.01,0.0000,1607.73,275.44,0.0000,1748.14,312.47,0.0000,1726.54,274.67,0.0000,1609.27,394.25,0.0000,1498.18,346.42,0.0000,1696.45,347.96,0.0000,1438.00,111.11,0.0000,1600.78,408.91,0.0000,1546.78,414.31,0.0000
5,0,Elm,0.6561,1438.3,124.6,1823.4,498.0,0.9332,1438.00,117.98,0.0000,1788.41,203.71,0.0000,1773.37,192.43,0.0000,1705.70,165.36,0.0000,1729.01,143.55,0.0000,1718.48,228.52,0.0000,1438.00,117.98,0.0000,1707.20,314.24,0.0000,1603.43,274.39,0.0000,1741.04,296.95,0.0000,1719.23,268.38,0.0000,1595.91,393.20,0.0000,1496.65,347.33,0.0000,1679.38,343.57,0.0000,1438.00,117.98,0.0000,1595.91,408.24,0.0000,1544.03,408.24,0.0000
5,1,Jok,0.6168,1621.9,240.5,1872.3,520.2,0.5950,1743.50,323.67,0.0000,1743.50,285.94,0.0000,1750.06,281.56,0.0000,1750.06,264.61,0.0000,1797.09,258.59,0.0000,1802.56,317.11,0.0000,1815.14,285.94,0.0000,1606.78,240.00,0.0000,1711.23,395.86,0.0000,1736.39,323.67,0.0000,1707.41,324.22,0.0000,1756.62,468.59,0.0000,1794.91,468.05,0.0000,1606.78,419.38,0.0000,1739.12,406.80,0.0000,1738.03,425.39,0.0000,1685.53,404.06,0.0000
6,0,Elm,0.7108,1438.5,124.1,1825.4,500.5,0.9382,1438.00,117.95,0.0000,1789.47,204.12,0.0000,1438.00,117.95,0.0000,1824.24,165.57,0.0000,1728.25,143.65,0.0000,1719.94,250.23,0.0000,1438.00,117.95,0.0000,1703.31,315.23,0.0000,1603.53,273.66,0.0000,1745.63,289.53,0.0000,1720.69,262.32,0.0000,1596.73,394.60,0.0000,1496.96,343.20,0.0000,1672.32,331.11,0.0000,1438.00,117.95,0.0000,1596.73,409.71,0.0000,1537.77,408.96,0.0000
6,1,Jok,0.6375,1626.0,248.4,1880.9,518.2,0.8011,1749.40,340.29,0.0000,1742.54,322.36,0.0000,1742.54,322.36,0.0000,1768.38,277.00,0.0000,1786.31,262.77,0.0000,1617.56,248.00,0.0000,1820.59,292.30,0.0000,1617.56,248.00,0.0000,1717.76,397.77,0.0000,1742.54,322.36,0.0000,1724.09,339.76,0.0000,1761.53,478.98,0.0000,1777.88,468.43,0.0000,1617.56,418.86,0.0000,1617.56,418.86,0.0000,1617.56,445.23,0.0000,1617.56,517.47,0.0000
7,0,Elm,0.7283,1437.1,125.1,1827.3,500.8,0.9383,1437.00,117.38,0.0000,1791.20,204.98,0.0000,1437.00,117.38,0.0000,1826.24,165.37,0.0000,1730.26,145.57,0.0000,1721.12,249.16,0.0000,1437.00,117.38,0.0000,1709.70,291.05,0.0000,1603.82,275.06,0.0000,1746.26,291.05,0.0000,1721.88,256.78,0.0000,1596.96,395.41,0.0000,1495.65,344.38,0.0000,1673.13,331.43,0.0000,1437.00,117.38,0.0000,1595.44,411.41,0.0000,1537.55,410.64,0.0000
7,1,Jok,0.6520,1626.3,250.3,1881.0,516.4,0.8557,1686.27,336.76,0.0000,1708.61,329.49,0.0000,1697.70,315.46,0.0000,1763.68,331.57,0.0000,1619.77,250.00,0.0000,1804.20,349.75,0.0000,1813.55,288.45,0.0000,1814.59,398.07,0.0000,1717.96,314.94,0.0000,1619.77,376.25,0.0000,1736.14,250.00,0.0000,1761.60,477.55,0.0000,1777.70,515.48,0.0000,1619.77,418.33,0.0000,1619.77,426.12,0.0000,1619.77,425.60,0.0000,1681.59,515.48,0.0000
8,0,Elm,0.7303,1435.7,125.4,1828.1,502.1,0.9420,1435.00,117.32,0.0000,1785.02,207.13,0.0000,1435.00,117.32,0.0000,1707.49,164.91,0.0000,1732.05,150.33,0.0000,1711.33,252.42,0.0000,1677.55,176.43,0.0000,1695.21,317.66,0.0000,1604.63,276.21,0.0000,1738.96,292.33,0.0000,1722.07,252.42,0.0000,1593.89,348.37,0.0000,1435.00,117.32,0.0000,1658.37,333.01,0.0000,1435.00,117.32,0.0000,1595.42,413.61,0.0000,1543.23,407.47,0.0000
8,1,Jok,0.6592,1622.0,253.7,1877.8,515.6,0.8675,1684.43,332.83,0.0000,1706.95,331.29,0.0000,1699.27,317.48,0.0000,1760.68,331.29,0.0000,1618.93,253.00,0.0000,1618.93,253.00,0.0000,1813.38,285.24,0.0000,1810.82,393.21,0.0000,1715.64,399.86,0.0000,1618.93,373.25,0.0000,1711.55,253.00,0.0000,1726.39,514.49,0.0000,1759.14,514.49,0.0000,1618.93,410.10,0.0000,1618.93,407.03,0.0000,1618.93,434.66,0.0000,1680.34,514.49,0.0000
9,0,Elm,0.7308,1435.8,124.9,1833.2,505.0,0.9481,1435.00,116.23,0.0000,1788.69,208.73,0.0000,1435.00,116.23,0.0000,1832.22,165.20,0.0000,1735.05,149.65,0.0000,1714.84,253.04,0.0000,1435.00,116.23,0.0000,1707.85,319.11,0.0000,1598.24,272.47,0.0000,1749.05,292.68,0.0000,1435.00,116.23,0.0000,1595.91,366.53,0.0000,1435.00,116.23,0.0000,1654.21,334.66,0.0000,1435.00,116.23,0.0000,1596.69,409.29,0.0000,1435.00,116.23,0.0000
