frame_number,monkey_ID,monkey_name,monkey_id_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_confidence,nose_x,nose_y,nose_confidence,left_eye_x,left_eye_y,left_eye_confidence,right_eye_x,right_eye_y,right_eye_confidence,left_ear_x,left_ear_y,left_ear_confidence,right_ear_x,right_ear_y,right_ear_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
8,1,Jok,0.5850,869.2,52.7,1044.1,411.1,0.9139,1009.94,115.81,0.0000,932.81,90.56,0.0000,1010.64,103.19,0.0000,776.45,52.00,0.0000,776.45,52.00,0.0000,776.45,52.00,0.0000,982.59,131.93,0.0000,905.46,201.35,0.0000,776.45,52.00,0.0000,1022.56,158.58,0.0000,1021.86,175.41,0.0000,864.09,321.95,0.0000,944.73,348.60,0.0000,929.30,262.35,0.0000,776.45,52.00,0.0000,1004.33,337.38,0.0000,776.45,52.00,0.0000
9,1,Jok,0.6157,1014.7,152.4,1083.0,343.7,0.9465,952.82,152.00,0.0000,1062.87,218.78,0.0000,952.82,152.00,0.0000,1050.93,165.43,0.0000,952.82,152.00,0.0000,1050.56,226.61,0.0000,952.82,152.00,0.0000,1016.98,264.29,0.0000,1001.69,265.41,0.0000,1042.35,244.14,0.0000,1008.78,342.63,0.0000,1054.66,288.91,0.0000,1042.35,342.63,0.0000,1036.01,288.54,0.0000,1011.76,288.54,0.0000,1009.52,342.63,0.0000,1002.44,342.63,0.0000
9,0,Elm,0.5140,871.2,50.8,1038.9,411.3,0.9172,1009.20,114.16,0.0000,934.46,89.48,0.0000,1012.02,101.47,0.0000,773.70,50.00,0.0000,773.70,50.00,0.0000,773.70,50.00,0.0000,983.11,131.08,0.0000,884.40,200.18,0.0000,773.70,50.00,0.0000,1026.82,173.39,0.0000,1020.48,174.09,0.0000,866.06,321.46,0.0000,951.38,348.25,0.0000,866.06,262.23,0.0000,773.70,50.00,0.0000,884.40,342.61,0.0000,773.70,50.00,0.0000
10,0,Elm,0.5330,869.2,47.7,1038.6,414.1,0.9245,1009.49,112.95,0.0000,933.51,87.14,0.0000,1008.78,100.04,0.0000,770.08,47.00,0.0000,770.08,47.00,0.0000,770.08,47.00,0.0000,982.97,135.17,0.0000,883.34,200.39,0.0000,770.08,47.00,0.0000,1026.70,172.44,0.0000,1020.96,173.16,0.0000,863.98,322.97,0.0000,942.83,346.62,0.0000,863.98,262.04,0.0000,770.08,47.00,0.0000,881.90,344.47,0.0000,770.08,47.00,0.0000
10,1,Jok,0.6134,1014.2,154.0,1083.4,344.2,0.9481,952.82,153.00,0.0000,1063.24,220.52,0.0000,952.82,153.00,0.0000,1050.93,166.80,0.0000,952.82,153.00,0.0000,1050.56,228.36,0.0000,952.82,153.00,0.0000,1017.36,268.64,0.0000,1006.54,273.87,0.0000,1006.54,343.63,0.0000,1008.78,343.63,0.0000,1054.66,282.45,0.0000,1042.35,343.63,0.0000,1036.01,305.58,0.0000,1011.39,289.91,0.0000,1012.88,343.63,0.0000,1002.44,343.63,0.0000
11,1,Jok,0.5071,866.4,46.7,1038.1,414.6,0.9334,1011.19,112.12,0.0000,932.12,86.25,0.0000,1011.91,99.91,0.0000,768.25,46.00,0.0000,768.25,46.00,0.0000,768.25,46.00,0.0000,984.59,135.12,0.0000,880.38,199.81,0.0000,768.25,46.00,0.0000,1027.00,176.81,0.0000,1019.81,178.25,0.0000,862.41,322.72,0.0000,949.38,346.44,0.0000,862.41,262.34,0.0000,768.25,46.00,0.0000,880.38,349.31,0.0000,768.25,46.00,0.0000
11,1,Jok,0.6090,1014.0,154.1,1083.6,344.5,0.9481,952.88,154.00,0.0000,1062.36,220.43,0.0000,952.88,154.00,0.0000,1059.76,167.73,0.0000,952.88,154.00,0.0000,1059.02,227.85,0.0000,952.88,154.00,0.0000,1013.74,268.30,0.0000,1006.32,267.93,0.0000,952.88,343.63,0.0000,1008.92,343.63,0.0000,1054.19,290.19,0.0000,1030.81,343.63,0.0000,1035.64,305.41,0.0000,1011.14,290.19,0.0000,1013.00,343.63,0.0000,1002.24,343.63,0.0000
12,0,Elm,0.5375,867.3,48.3,1038.1,413.3,0.9377,1011.72,113.59,0.0000,956.82,87.92,0.0000,1015.28,100.75,0.0000,770.05,48.00,0.0000,770.05,48.00,0.0000,770.05,48.00,0.0000,985.34,136.40,0.0000,881.26,200.56,0.0000,770.05,48.00,0.0000,1026.69,198.42,0.0000,1019.56,184.16,0.0000,859.87,322.46,0.0000,942.57,345.99,0.0000,854.88,262.58,0.0000,770.05,48.00,0.0000,881.26,349.55,0.0000,770.05,48.00,0.0000
12,1,Jok,0.6174,1014.4,154.9,1084.9,345.2,0.9496,953.57,154.00,0.0000,953.57,154.00,0.0000,953.57,154.00,0.0000,1061.38,219.28,0.0000,953.57,154.00,0.0000,1054.66,229.73,0.0000,1022.21,206.23,0.0000,1016.61,266.29,0.0000,1012.13,274.87,0.0000,1012.51,249.13,0.0000,1007.29,344.63,0.0000,1055.78,283.07,0.0000,1036.38,279.72,0.0000,1032.28,298.00,0.0000,1015.49,290.54,0.0000,1013.63,344.63,0.0000,1003.55,344.63,0.0000
13,0,Elm,0.6111,865.2,44.6,1039.5,411.3,0.9429,1012.66,109.95,0.0000,956.75,84.14,0.0000,1012.66,104.93,0.0000,768.95,44.00,0.0000,768.95,44.00,0.0000,768.95,44.00,0.0000,986.86,138.62,0.0000,882.20,206.00,0.0000,768.95,44.00,0.0000,1027.00,195.24,0.0000,1019.83,186.64,0.0000,862.13,319.97,0.0000,949.58,344.34,0.0000,854.25,259.76,0.0000,768.95,44.00,0.0000,880.77,346.49,0.0000,768.95,44.00,0.0000
